CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;15/02/2017;PRESIDENTE HOTEL LTDA - ME;138
25000;MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM RIBEIRAO PRETO;24/05/2017;R.F DISTRIBUIDORA DE COPOS E CIA. EIRELI - ME [R.F HOTELARIA];137.4
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;07/07/2017;HOTEL CANTELLI;136
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;9 BATALHAO DE ENGENHARIA DE CONSTRUCAO;17/07/2017;FRANCISCO ANSELMO FOLLMANN - ME [HOTEL E RESTAURANTE DO CHICO];135
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;22/02/2017;A. J. PIRES & CIA. LTDA. - ME [VERDES CAMPOS HOTEL E RESTAURANTE];135
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2� REGIMENTO DE CAVALARIA DE GUARDAS;10/11/2017;CHURRASCARIA E HOTEL 500 DA REGIS LTDA - ME [CHURRASCARIA E HOTEL 500 DA REGIS];135
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;ACADEMIA MILITAR DAS AGULHAS NEGRAS;02/07/2017;OLIVEIRAS HOTEL LTDA - ME [OLIVEIRAS HOTEL];134
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NA BAHIA;15/12/2017;MARIA ALVES DOS SANTOS DE CICERO DANTAS [POUSADA AGNELO];133.36
53000;MINISTERIO DA INTEGRACAO NACIONAL;DEPARTAMENTO NAC. DE OBRAS CONTRA AS SECAS;DNOCS CEST/PI-TERESINA-PI;28/06/2017;PIPEL-PICOS PETROLEO LTDA [POSTO E HOTEL NACIONAL];132.06
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;24/02/2017;HOTEL JACONE LTDA - ME [HOTEL JACONE];131
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;26/07/2017;V. B. DE OLIVEIRA PALACE HOTEL  - ME [OLIVEIRA PALACE HOTEL];130
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;29/07/2017;MADALON HOTEL EIRELI ME  - ME [HOTEL BRASIL];130
53000;MINISTERIO DA INTEGRACAO NACIONAL;SUPERINTEND.DO DESENVOLV.DA AMAZONIA-SUDAM;SUPERINTEND. DO DESENVOLVIMENTO DA AMAZONIA;07/08/2017;H. G. MENDES - EPP [LOCA MAIS VECULOS (MAIS HOTEL)];130
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;9 BATALHAO DE ENGENHARIA DE CONSTRUCAO;19/07/2017;M. R. DA SILVA GOMES - ME [HOTEL NOVO SOL];130
26000;MINISTERIO DA EDUCACAO;FUNDACAO JOAQUIM NABUCO;FUNDACAO JOAQUIM NABUCO;13/06/2017;MARIA JACIRA DO AMARANTE - ME [RIO MAR HOTEL];130
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;DEPARTAMENTO DE POLICIA RODOVIARIA FEDERAL;SUPERINTENDENCIA REG. POL. RODV. FEDERAL-GO;24/03/2017;AUTO POSTO REAL HOTEL E RESTAURANTE LTDA [TREVAO - AUTO POSTO REAL];125.17
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5� CENTRO DE GEOINFORMA��O;01/06/2017;MENDES HOTEIS TURISMO E ADMINISTRADORA LTDA;125
32000;MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-AL;27/05/2017;POSTO E HOTEL DI'VAN LTDA [POSTO DI VAN];122.47
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;25/02/2017;V. B. DE OLIVEIRA PALACE HOTEL  - ME [OLIVEIRA PALACE HOTEL];120
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;22/11/2017;FRANCISCO ANSELMO FOLLMANN - ME [HOTEL E RESTAURANTE DO CHICO];115
30000;MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;FUNDO NACIONAL ANTIDROGAS;FUNDO NACIONAL ANTIDROGAS;02/06/2017;GCS ADMINISTRACAO DE HOTEIS LTDA - ME;114.98
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;11/06/2017;HOTEL & RESTAURANTE ACAI LTDA - ME [POUSADA & RESTAURANTE ACAI];113
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;22/11/2017;JOELISE DE SOUZA HERMES - ME [CHURRASCARIA BEIRA RIO E HOTEL];112.5
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;9 BATALHAO DE ENGENHARIA DE CONSTRUCAO;22/07/2017;HOTEL E LANCHONETE MARACANA LTDA - ME [HOTEL E LANCHONETE MARACANA];110
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;19 BATALHAO DE CACADORES;16/06/2017;RONI HOTEIS E RESTAURANTES LTDA - EPP;105
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;30/05/2017;JOANIM HOTEIS E PONTO DE APOIO LTDA [HOTEL CRICABOM];101.94
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;11� BATALH�O DE INFANTARIA DE MONTANHA;28/07/2017;POSTO & HOTEL GIRA-SOL LTDA [POSTO & HOTEL GIRA-SOL];100
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;21/04/2017;POR DO SOL COMERCIO E SERVICOS LTDA - ME [ECO-TUR POUSADA];100
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;09/11/2017;HOTEL TREVO SERVICO DE HOTELARIA LTDA  - ME [HOTEL TREVO];100
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;20 REGIMENTO DE CAVALARIA BLINDADO;31/10/2017;NEUSA JOSEFINA COLOMBO BORBA - ME [HOTEL E MOTEL MONTE BELO];100
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;2 BATALHAO DE ENGENHARIA DE CONSTRUCAO;09/06/2017;A J R DE MELO - ME [POUSADA E ARMARINHO];98.4
36000;MINISTERIO DA SAUDE;FUNDACAO NACIONAL DE SAUDE;FUNDACAO NACIONAL DE SAUDE - RN;03/04/2017;MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA - ME [MULTIBAR];96.49
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;23/10/2017;PAULO G DA S S NUNES - ME [RESTAURANTE E POUSADA SERRA AZUL];95
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COUDELARIA DE RINCAO;12/11/2017;CHURRASCARIA E HOTEL 500 DA REGIS LTDA - ME [CHURRASCARIA E HOTEL 500 DA REGIS];94.5
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO C COM G EX;02/08/2017;JOSE LUIZ DOS SANTOS - ME [HOTEL E RESTAURANTE CONGONHAS];93
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;COMANDO 5 REGIAO MILITAR/5 DIVISAO  EXERCITO;15/08/2017;AVL HOTEIS LTDA - EPP [TREVI HOTEL];92.4
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;01/06/2017;JOANIM HOTEIS E PONTO DE APOIO LTDA [HOTEL CRICABOM];91.94
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;26/06/2017;IRMAOS PINHEIRO HOTEIS E TURISMO LTDA [INACIO PALACE HOTEL];85.04
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;23/02/2017;M. M. ROCHA EIRELI [HOTEL VERONA];85
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;23/02/2017;HOTEL JACONE LTDA - ME [HOTEL JACONE];84
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;25/01/2017;METROPOLITAN HOTEL LTDA [METROPOLITAN HOTEL];80
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;16/11/2017;CASULO - POUSADA E EMPREENDIMENTOS TURISTICOS LTDA - ME [CASULO POUSADA];80
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2 BATALH�O FERROVI�RIO;26/10/2017;VERA LUCIA ROCHA DA SILVA - ME [POUSADA MARANATA];80
