CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;15/11/2017;GREEN TEA COMERCIO DE ALIMENTOS EIRELI;328.68
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5 BATALHAO LOGISTICO;20/10/2017;RESTAURANTE E CHURRASCARIA 477 LTDA - ME;328
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS;26/09/2017;SUPERMERCADO BERNARDAO LTDA;327.93
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5 BATALHAO LOGISTICO;13/08/2017;LETICIA DUARTE CASTRO - EPP [LANCHONETE E RESTAURANTE ELDORADO];327.57
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;55 BATALHAO DE INFANTARIA;17/11/2017;SUPERMERCADO BICALHO & BICALHO LTDA [SUPERMERCADO BICALHO];327.45
26000;MINISTERIO DA EDUCACAO;EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH;EBSERH HUOL-UFRN;04/08/2017;MV COMERCIO DE PRODUTOS PARA HOTEIS E RESTAURANTES LTDA - ME [MULTIBAR];327.23
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DE SANTA CATARINA;UNIVERSIDADE FEDERAL DE SANTA CATARINA;20/09/2017;BISTEK - SUPERMERCADOS LTDA. [BISTEK SUPERMERCADOS LTDA];327.11
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;3 REGIMENTO DE CAVALARIA DE GUARDA;02/10/2017;BAR E RESTAURANTE H P LTDA - ME;326.7
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COLEGIO  MILITAR DE BRASILIA;27/01/2017;SHERATON BOSTON DINING;325.92
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;07/11/2017;MARCOS & MARCOS SUPERMERCADO LTDA - ME [SUPERMERCADO RIO & BAHIA];325.6
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL FLUMINENSE;UNIVERSIDADE FEDERAL FLUMINENSE;01/11/2017;I&B DE SANTA ROSA COMERCIO DE ALIMENTOS LTDA [IB];325.46
39000;MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL;AGENCIA NAC. DE TRANSPORTES TERRESTRES � ANTT;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES;02/06/2017;SDB COMERCIO DE ALIMENTOS LTDA;325.17
39000;MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL;AGENCIA NAC. DE TRANSPORTES TERRESTRES � ANTT;AGENCIA NACIONAL DE TRANSPORTES TERRESTRES;02/06/2017;SDB COMERCIO DE ALIMENTOS LTDA;325.17
26000;MINISTERIO DA EDUCACAO;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;18/04/2017;SENDAS DISTRIBUIDORA S/A;325.15
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;UNIVERSIDADE FEDERAL DO RIO DE JANEIRO;18/10/2017;NTZ COMERCIO DE ALIMENTOS - EIRELI;325.05
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;15 BATALHAO LOGISTICO;03/11/2017;AROLDO FERNANDO AVILA [RESTAURANTE DO GRINGO];325
26000;MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.CATARINENSE;INSTITUTO FEDERAL CATARINENSE - REITORIA;29/06/2017;N TONIAL E CIA LTDA [SUPERMERCADO UNIAO];324.92
26000;MINISTERIO DA EDUCACAO;HOSPITAL DE CLINICAS DE PORTO ALEGRE;HOSPITAL DE CLINICAS DE PORTO ALEGRE;17/03/2017;COMPANHIA ZAFFARI COMERCIO E INDUSTRIA [SUPERMERCADOS ZAFFARI];324.8
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO PARA-INCRA/SR-01;10/04/2017;FORMOSA SUPERMERCADOS E MAGAZINE LTDA [FORMOSA];324.25
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;10/02/2017;JOSE BATISTA DOS SANTOS SUPERMERCADO - EPP [SUPERMERCADO CRISTAL];324
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL FLUMINENSE;UNIVERSIDADE FEDERAL FLUMINENSE;18/08/2017;CASAS GUANABARA COMESTIVEIS LTDA [SUPERMERCADOS GUANABARA];323.8
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DA BAHIA;UNIVERSIDADE FEDERAL DA BAHIA;17/05/2017;BOMPRECO BAHIA SUPERMERCADOS LTDA [BOMPRECO];323.76
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;25/04/2017;BRASEIRO - RESTAURANTE LTDA  - ME [BRASEIRO];323
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO ESPIRITO SANTO;21/09/2017;OSVALDO PERIM SUPERMERCADOS LTDA [SUPERMERCADOS PERIM];322.69
52000;MINISTERIO DA DEFESA;FUNDO DO EXERCITO;2� REGIMENTO DE CAVALARIA DE GUARDAS;06/11/2017;PANTERAO 57 HOTEL RESTAURANTE E COMERCIO DE CARNES LTDA - EPP;322.5
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;30/04/2017;HOTEL & RESTAURANTE ACAI LTDA - ME [POUSADA & RESTAURANTE ACAI];322
20000;PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DA BAHIA-INCRA/SR-05;19/06/2017;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS LTDA;321.3
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NA PARAIBA;07/12/2017;LUIZ GUEDES SOBRINHO [GUEDES SUPERMERCADO];321.27
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;18/08/2017;URCA SUL SUPERMERCADOS LTDA - EPP;321.25
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO C COM G EX;09/11/2017;COSTA GOMES RESTAURANTE E CONVENIENCIA LTDA - ME;320.59
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO RIO GRANDE DO SUL;26/04/2017;SUPERMERCADO SCOTTA LTDA;320.54
20000;PRESIDENCIA DA REPUBLICA;ADVOCACIA-GERAL DA UNIAO - AGU;SUPERINTENDENCIA DE ADM. NO DISTRITO FEDERAL;14/10/2017;MATEUS SUPERMERCADOS S.A. [MATEUS SUPERMERCADOS];320.45
