OrgSuperior;OrgSubordinado;UnidadeGestora;Portador;Total;Frequencia
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COMANDO 13  BDA DE INFANTARIA MOTORIZADA;ISAIAS DE ALMEIDA;634.81;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;3 REGIMENTO DE CAVALARIA DE GUARDA;JULIANO A CONCEICAO;1247.5;2
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;WLADIMIR R GOMES;11189.55;23
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;25 BATALHAO DE CACADORES;CARVALHO;570;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;WILSON LOPES O NETO;9567.0;13
MINISTERIO DA EDUCACAO;FUN.UNIV.FED.DE CIENCIAS DA SAUDE DE P.ALEGRE;FUND.UNIV.FED.DE.CIENC.DA SAUDE DE P.ALEGRE;MARIA I N PRITSCH;512.5;1
MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO PARA;UNIVERSIDADE FEDERAL DO PARA;AFONSO Q LIMA;420;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;22 BATALHAO DE INFANTARIA;SD ADRIANO ALVES;530;2
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;23 BATALHAO LOGISTICO DE SELVA;MARTINELLI;1080;2
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;23 BATALHAO LOGISTICO DE SELVA;RODRIGO AZEVEDO;720;2
MINISTERIO DA JUSTICA E SEGURAN�A PUBLICA;FUNDACAO NACIONAL DO INDIO;COORDENA��O REGIONAL NORDESTE 1/AL;MARCO A ELIHIMAS;494.8;2
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS;LUCAS GUERELLUS;337;2
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;8 BATALHAO LOGISTICO;WAGNER SANTOS DIAS;330;1
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;RAFAEL S NASCIMENTO;660;2
MINISTERIO DA EDUCACAO;EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH;EBSERH HUSM-UFSM;WILMAR F CASTRO;318.97;1
MINISTERIO DA EDUCACAO;EMPRESA BRASIL.DE SERV.HOSPITALARES - EBSERH;EBSERH HUOL-UFRN;ANTONIO J F SOUZA;630.22;2
MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;COMPANHIA NACIONAL DE ABASTECIMENTO;CONAB SEDE SUREG MATO GROSSO;BENEDITO M C FILHO;298.73;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;SEBASTIAO R BEZERRA;16380.48;31
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;KASSIO NITSCHKE;1530;4
PRESIDENCIA DA REPUBLICA;INST. NACIONAL DE COLONIZ. E REFORMA AGRARIA;SUPERINTEND.ESTADUAL DE GOIAS-INCRA/SR-04;ADILSON R PEREIRA;275.02;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;22 BATALHAO DE INFANTARIA;CB DUARTE;273.5;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;COMANDO DE ARTILHARIA DIVISIONARIA DA 1 DE;DANIEL V LEITE;604.94;3
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;17A BASE LOGISTICA;TONNY SMAYLON;578;3
MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-MG;JOSE C SALES CAMPOS;225.02;1
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;2  BATALHAO DE FRONTEIRA;DENIS A M ODORISSI;212.5;1
MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM MARINGA;DENIVALDO VIOLIN;190.3;1
MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO;MINISTERIO DA AGRIC.PECUARIA E ABASTECIMENTO;SUPERINT.FED.DE AGRIC.,PEC.E ABASTECIMENTO/PA;ESTEVAM O CASTELO;189.02;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;GEZIEL DA LUZ;187;1
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;BASE ADMINISTRATIVA DO CMDO DE OP ESPECIAIS;LUIZ FERNANDO BRANC;1104;5
MINISTERIO DO TRABALHO;FUNDO DE AMPARO AO TRABALHADOR;SUPERINT REG DO TRAB E EMPREGO/MT;MILTON FINGER;175.04;1
MINISTERIO DA EDUCACAO;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE;JOAO BOSCO GOMES;171.01;1
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4. DEPOSITO DE SUPRIMENTO;LEANDRO C DA SILVA;168;1
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;THIAGO C FRANCESCHI;160;1
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;3 REGIMENTO DE CAVALARIA DE GUARDA;CARLOS E E E SANTOS;158;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;PAULO C GRAMACHO;501;3
MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-BA;MARCO A F RAMOS;559.66;3
MINISTERIO DE MINAS E ENERGIA;DEPARTAMENTO NACIONAL DE PRODUCAO MINERAL;SUPERINTEND�NCIA DO DNPM-AL;JOSE MAURICIO;414.22;3
MINISTERIO DA DEFESA;FUNDO DO EXERCITO;5. BATALHAO DE SUPRIMENTO;DOUGLAS D MAXIMO;592;5
MINISTERIO DA FAZENDA;RECEITA FEDERAL DO BRASIL;DELEGACIA DA RFB EM RIBEIRAO PRETO;JOSE LUIZ ALVES;137.4;1
