CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;10/11/2017;AUTO POSTO CEIBA SPECIOSA LTDA - EPP;94.03
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS;29/09/2017;POSTO CENTRAL DE MANTENA LTDA - EPP [POSTO CENTRAL];94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;18/10/2017;POSTO ITAMARATI GENESIS LTDA;94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;16/10/2017;PIRACICABA EXPRESS POSTO DE SERVICO LTDA [REDE J. AMARAL];94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NA BAHIA;19/12/2017;MARIANO JUNIOR COMERCIO DE COMBUSTIVEIS LTDA [POSTO SAO FRANCISCO II];94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;06/12/2017;AUTO POSTO BRASIL 500 DE CONCHAS LTDA [AUTO POSTO BRASIL 500];94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;08/12/2017;SONEGO & SONEGO LTDA [AUTO POSTO PALESTINA];94.02
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;11/10/2017;AUTO POSTO FUTURA LTDA;94.01
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;16/10/2017;AUTO POSTO GUARDAMOR LTDA [AUTO POSTO GUARDAMOR LTDA EPP];94.01
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM SAO PAULO;03/11/2017;AUTO POSTO PROGRESSO DE ADAMANTINA LTDA [POSTO PROGRESSO];94.01
